tipo_alerta,severidad,entidad,metrica,valor,descripcion,accion_sugerida
margen_bajo_canal,HIGH,Distribuidor,margen_bruto_pct,0.0756,Canal con margen bruto bajo.,"Renegociar descuento, precio minimo y flete absorbido del canal."
margen_bajo_cliente,HIGH,C0001 - GRANOS DEL SUR S.A. - Distribuidor - Avellaneda,margen_bruto_pct,0.0756,Cliente con margen bruto bajo.,"Agendar renegociacion: revisar descuento, volumen minimo, lista de precios y flete absorbido."
margen_bajo_producto,HIGH,CAF-BLEND-CJ6 - Blend Casa CAJA X 6 (1kg c/u) - CAFE,margen_bruto_pct,0.0392,Producto con margen bruto bajo.,Frenar promociones y revisar precio/costo antes de vender mas volumen.
margen_bajo_canal,MEDIUM,Mayorista,margen_bruto_pct,0.1933,Canal con margen bruto bajo.,Revisar escala de descuentos y condiciones por volumen.
margen_bajo_cliente,MEDIUM,C0101 - El Almacen de Palermo II - Mayorista - CABA,margen_bruto_pct,0.1693,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0102 - Bar Belgrano - Mayorista - CABA,margen_bruto_pct,0.1722,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0103 - Coffee Lab Belgrano II - Mayorista - CABA,margen_bruto_pct,0.1632,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0104 - Tostado Villa Crespo - Mayorista - CABA,margen_bruto_pct,0.1845,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0105 - Panaderia Villa Crespo II - Mayorista - CABA,margen_bruto_pct,0.1930,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0107 - La Ventanita de Nunez II - Mayorista - CABA,margen_bruto_pct,0.1593,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0108 - Coffee Lab Colegiales - Mayorista - CABA,margen_bruto_pct,0.1961,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0110 - Panaderia Devoto - Mayorista - CABA,margen_bruto_pct,0.1597,Cliente con margen bruto bajo.,Preparar propuesta con menor descuento o mix de productos de mayor margen.
margen_bajo_cliente,MEDIUM,C0111 - Cafe Devoto II - Mayorista - CABA,margen_bruto_pct,0.1834,Cliente con margen bruto bajo.,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
margen_bajo_cliente,MEDIUM,C0112 - La Ventanita de Recoleta - Mayorista - CABA,margen_bruto_pct,0.1583,Cliente con margen bruto bajo.,Preparar propuesta con menor descuento o mix de productos de mayor margen.
margen_bajo_cliente,MEDIUM,C0116 - Cafe Caballito - Mayorista - CABA,margen_bruto_pct,0.1976,Cliente con margen bruto bajo.,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
margen_bajo_cliente,MEDIUM,C0119 - Coffee Lab Saavedra II - Mayorista - CABA,margen_bruto_pct,0.1908,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0121 - Panaderia Chacarita II - Mayorista - CABA,margen_bruto_pct,0.1593,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0122 - El Almacen de Almagro - Mayorista - CABA,margen_bruto_pct,0.1984,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0123 - La Ventanita de Almagro II - Mayorista - CABA,margen_bruto_pct,0.1691,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0124 - Coffee Lab Flores - Mayorista - CABA,margen_bruto_pct,0.1664,Cliente con margen bruto bajo.,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
margen_bajo_cliente,MEDIUM,C0127 - Cafe Parque Chas II - Mayorista - CABA,margen_bruto_pct,0.1958,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0128 - La Ventanita de San Telmo - Mayorista - CABA,margen_bruto_pct,0.1972,Cliente con margen bruto bajo.,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
margen_bajo_cliente,MEDIUM,C0131 - Tostado Coghlan II - Mayorista - CABA,margen_bruto_pct,0.1660,Cliente con margen bruto bajo.,Preparar propuesta con menor descuento o mix de productos de mayor margen.
margen_bajo_cliente,MEDIUM,C0132 - Cafe Barracas - Mayorista - CABA,margen_bruto_pct,0.1598,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_cliente,MEDIUM,C0133 - El Almacen de Barracas II - Mayorista - CABA,margen_bruto_pct,0.1823,Cliente con margen bruto bajo.,Preparar propuesta con menor descuento o mix de productos de mayor margen.
margen_bajo_cliente,MEDIUM,C0134 - Bar Agronomia - Mayorista - CABA,margen_bruto_pct,0.1589,Cliente con margen bruto bajo.,"En la proxima reposicion, ofrecer alternativas de mayor margen antes de repetir descuento."
margen_bajo_cliente,MEDIUM,C0136 - Tostado Villa Urquiza - Mayorista - CABA,margen_bruto_pct,0.1601,Cliente con margen bruto bajo.,Revisar devoluciones y rotacion antes de renovar condiciones comerciales.
margen_bajo_producto,MEDIUM,CAF-BLEND-1K - Blend Casa 1 kg - CAFE,margen_bruto_pct,0.1642,Producto con margen bruto bajo.,Monitorear precio y descuento; no empujarlo sin revisar margen.
margen_bajo_producto,MEDIUM,CAF-BRAS-1K - Brasil Cerrado 1 kg - CAFE,margen_bruto_pct,0.1473,Producto con margen bruto bajo.,Monitorear precio y descuento; no empujarlo sin revisar margen.
notas_credito_altas_cliente,MEDIUM,C0101 - El Almacen de Palermo II - Mayorista - CABA,notas_credito_pct,0.0930,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0102 - Bar Belgrano - Mayorista - CABA,notas_credito_pct,0.1284,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0109 - Usina Colegiales II - Mayorista - CABA,notas_credito_pct,0.1891,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0113 - Bar Recoleta II - Mayorista - CABA,notas_credito_pct,0.0639,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0115 - Tostado Boedo II - Mayorista - CABA,notas_credito_pct,0.1167,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0118 - Bar Saavedra - Mayorista - CABA,notas_credito_pct,0.1052,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0122 - El Almacen de Almagro - Mayorista - CABA,notas_credito_pct,0.3209,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0123 - La Ventanita de Almagro II - Mayorista - CABA,notas_credito_pct,0.0706,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0132 - Cafe Barracas - Mayorista - CABA,notas_credito_pct,0.0608,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0135 - Coffee Lab Agronomia II - Mayorista - CABA,notas_credito_pct,0.0774,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_cliente,MEDIUM,C0136 - Tostado Villa Urquiza - Mayorista - CABA,notas_credito_pct,0.0660,Cliente con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
notas_credito_altas_producto,MEDIUM,CAF-BRAS-1K - Brasil Cerrado 1 kg - CAFE,notas_credito_pct,0.0794,Producto con devoluciones mayores al 5% de ventas netas.,"Revisar devoluciones, rotacion de producto y acuerdos comerciales."
